2022-05-28 10:19:56.177[1653722396177] | INFO  | root.main       | org.mongodb.driver.cluster           - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2022-05-28 10:19:56.258[1653722396258] | INFO  | cluster-ClusterId{value='6291cd1cdfdacc61d893ccb3', description='null'}-localhost:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:1, serverValue:295}] to localhost:27017
2022-05-28 10:19:56.263[1653722396263] | INFO  | cluster-ClusterId{value='6291cd1cdfdacc61d893ccb3', description='null'}-localhost:27017 | org.mongodb.driver.cluster           - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 8]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=3170600}
2022-05-28 10:20:14.364[1653722414364] | INFO  | root.main       | org.mongodb.driver.cluster           - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2022-05-28 10:20:14.415[1653722414415] | INFO  | cluster-ClusterId{value='6291cd2ef1eb9e6b9f03ad35', description='null'}-localhost:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:1, serverValue:296}] to localhost:27017
2022-05-28 10:20:14.420[1653722414420] | INFO  | cluster-ClusterId{value='6291cd2ef1eb9e6b9f03ad35', description='null'}-localhost:27017 | org.mongodb.driver.cluster           - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 8]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=3134200}
2022-05-28 10:21:00.554[1653722460554] | INFO  | root.main       | org.mongodb.driver.cluster           - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2022-05-28 10:21:00.614[1653722460614] | INFO  | cluster-ClusterId{value='6291cd5ca55dad323fb424e6', description='null'}-localhost:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:1, serverValue:297}] to localhost:27017
2022-05-28 10:21:00.618[1653722460618] | INFO  | cluster-ClusterId{value='6291cd5ca55dad323fb424e6', description='null'}-localhost:27017 | org.mongodb.driver.cluster           - Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[5, 0, 8]}, minWireVersion=0, maxWireVersion=13, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=3178000}
2022-05-28 10:21:11.358[1653722471358] | INFO  | root.main       | org.mongodb.driver.cluster           - Cluster created with settings {hosts=[localhost:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
2022-05-28 10:21:11.427[1653722471427] | INFO  | cluster-ClusterId{value='6291cd675596180e476603e3', description='null'}-localhost:27017 | org.mongodb.driver.connection        - Opened connection [connectionId{localValue:1, serverValue:298}] to localhost:27017
